ced_id,median_age,median_mortgage_mtly,median_income_mtly,median_rent_mtly,avg_household
CED101,39,2500,3389.0,1885.0,2.8
CED102,36,2383,3523.0,2080.0,2.6
CED103,37,2600,4082.0,2037.0,2.6
CED104,43,2817,4160.0,2383.0,3.0
CED105,33,2110,2409.0,1733.0,3.2
CED106,41,3100,4602.0,2383.0,2.8
CED107,40,1647,3280.0,1300.0,2.4
CED108,34,2200,3246.0,1647.0,3.1
CED109,42,2750,4294.0,2167.0,2.5
CED110,47,1625,2726.0,1517.0,2.3
CED111,39,2167,3380.0,1690.0,2.5
CED112,41,1957,3111.0,1690.0,2.6
CED113,43,1820,3783.0,1387.0,2.4
CED114,42,1300,3224.0,1083.0,2.4
CED115,38,1950,2258.0,1603.0,3.0
CED116,49,1733,2838.0,1517.0,2.3
CED117,38,3000,5434.0,2167.0,2.3
CED118,35,2500,4034.0,1950.0,3.1
CED119,39,2600,4320.0,2123.0,2.9
CED120,38,2167,3705.0,1733.0,2.8
CED121,40,1748,3163.0,1517.0,2.6
CED122,36,2870,4515.0,2383.0,2.4
CED123,35,2167,3753.0,1712.0,2.7
CED124,51,1625,2600.0,1408.0,2.3
CED125,34,2200,3493.0,1733.0,3.0
CED126,43,3033,4411.0,2600.0,2.7
CED127,42,2167,3631.0,1733.0,2.6
CED128,36,2167,2609.0,1777.0,3.1
CED129,38,2990,4446.0,2427.0,3.1
CED130,42,1400,2990.0,1213.0,2.4
CED131,37,2000,3757.0,1733.0,2.4
CED132,39,3033,6075.0,2431.0,2.3
CED133,46,1517,2752.0,1387.0,2.4
CED134,39,1300,3263.0,1083.0,2.4
CED135,34,2167,3523.0,1820.0,2.7
CED136,40,1733,3129.0,1582.0,2.5
CED137,35,2500,4151.0,2210.0,2.5
CED138,46,1950,3029.0,1863.0,2.4
CED139,40,1309,3181.0,1127.0,2.4
CED140,44,2150,3298.0,1733.0,2.4
CED141,43,1950,3228.0,1625.0,2.5
CED142,33,2700,5321.0,2405.0,1.9
CED143,40,3300,5763.0,2708.0,2.5
CED144,36,2167,2713.0,1733.0,2.9
CED145,38,3500,6574.0,2817.0,2.2
CED146,34,2200,2908.0,1820.0,3.3
CED147,41,2080,3163.0,1777.0,2.6
CED194,0,0,0.0,0.0,0.0
CED197,56,0,7146.0,0.0,0.0
CED201,40,2000,3454.0,1733.0,2.7
CED202,41,1500,3181.0,1278.0,2.4
CED203,42,1452,3172.0,1300.0,2.4
CED204,37,1800,2994.0,1517.0,2.9
CED205,32,1834,2700.0,1599.0,3.2
CED206,40,1950,3506.0,1647.0,2.7
CED207,39,2400,3181.0,1907.0,2.6
CED208,37,2100,3848.0,1651.0,2.4
CED209,40,1820,3519.0,1733.0,2.6
CED210,39,1700,3306.0,1387.0,2.4
CED211,40,2070,3605.0,1699.0,2.6
CED212,40,1898,3549.0,1560.0,2.5
CED213,48,1949,3228.0,1625.0,2.3
CED214,36,1850,3107.0,1517.0,2.6
CED215,35,2100,4056.0,1699.0,2.8
CED216,46,1300,2791.0,1083.0,2.3
CED217,43,2800,4628.0,2123.0,2.5
CED218,35,1900,3215.0,1647.0,3.1
CED219,35,1733,3367.0,1478.0,2.8
CED220,37,2450,5278.0,1820.0,2.2
CED221,33,1900,3415.0,1647.0,3.1
CED222,37,2000,3012.0,1660.0,2.7
CED223,45,1408,3189.0,1170.0,2.3
CED224,40,2167,3861.0,1759.0,2.6
CED225,41,2167,4026.0,1733.0,2.6
CED226,40,2936,4585.0,1954.0,2.5
CED227,34,2000,3692.0,1625.0,2.9
CED228,32,1814,3471.0,1538.0,3.0
CED229,36,2167,5378.0,1824.0,2.0
CED230,45,1083,2869.0,997.0,2.3
CED231,39,2167,4034.0,1677.0,2.4
CED232,36,2000,3818.0,1651.0,2.9
CED233,31,2100,4572.0,1733.0,1.9
CED234,42,2383,3332.0,1911.0,2.7
CED235,46,1500,2873.0,1257.0,2.3
CED236,43,1300,2964.0,1105.0,2.4
CED237,36,1815,3007.0,1599.0,2.9
CED238,46,1300,3107.0,1083.0,2.3
CED239,35,2032,3926.0,1733.0,2.4
CED294,0,0,0.0,0.0,0.0
CED297,50,0,9533.0,0.0,0.0
CED301,35,1517,3311.0,1387.0,2.7
CED302,38,2167,3930.0,1842.0,2.7
CED303,43,1950,3406.0,1820.0,2.6
CED304,34,2167,4940.0,1798.0,2.1
CED305,38,1517,3597.0,1213.0,2.5
CED306,39,1625,3644.0,1387.0,2.5
CED307,38,1918,3844.0,1625.0,2.8
CED308,39,1950,3337.0,1907.0,2.6
CED309,43,1900,3306.0,1885.0,2.5
CED310,43,1944,3241.0,1928.0,2.5
CED311,39,1500,3176.0,1127.0,2.5
CED312,35,1733,3345.0,1625.0,2.8
CED313,34,2167,4775.0,1863.0,2.3
CED314,38,1517,3289.0,1300.0,2.5
CED315,35,1517,3679.0,1300.0,2.5
CED316,49,1300,2496.0,1300.0,2.3
CED317,40,1430,3111.0,1083.0,2.5
CED318,39,1600,3363.0,1343.0,2.5
CED319,37,2000,4056.0,1690.0,2.4
CED320,39,1733,2986.0,1517.0,2.6
CED321,43,1200,2873.0,1040.0,2.4
CED322,40,2000,3458.0,2102.0,2.5
CED323,40,1858,3328.0,1863.0,2.3
CED324,36,2000,3575.0,1712.0,2.7
CED325,34,1733,3410.0,1560.0,2.9
CED326,39,1800,3371.0,1647.0,2.6
CED327,34,1650,3077.0,1517.0,2.9
CED328,36,2200,4260.0,1820.0,2.6
CED329,49,1440,2600.0,1300.0,2.4
CED330,39,1850,3259.0,1538.0,2.9
CED394,0,0,0.0,0.0,0.0
CED397,39,0,5183.0,0.0,1.5
CED401,36,1733,3510.0,1495.0,2.3
CED402,45,1170,2955.0,953.0,2.3
CED403,42,1800,3571.0,1430.0,2.3
CED404,45,1100,2786.0,867.0,2.3
CED405,42,1733,3363.0,1365.0,2.3
CED406,40,1452,3133.0,1387.0,2.5
CED407,39,1500,3129.0,1387.0,2.6
CED408,46,1595,3150.0,1365.0,2.5
CED409,35,1300,2752.0,1192.0,2.6
CED410,41,1828,3579.0,1473.0,2.4
CED494,0,0,0.0,0.0,0.0
CED497,48,0,7852.0,0.0,0.0
CED501,35,1733,3432.0,1430.0,2.7
CED502,35,1725,3237.0,1343.0,2.7
CED503,42,1800,3007.0,1365.0,2.5
CED504,38,1700,3137.0,1430.0,2.6
CED505,39,2500,4832.0,1733.0,2.4
CED506,37,1678,4021.0,1001.0,2.5
CED507,42,1700,3289.0,1408.0,2.5
CED508,38,1972,4047.0,1603.0,2.5
CED509,37,1950,3757.0,1499.0,2.7
CED510,42,2158,4000.0,1733.0,2.7
CED511,42,1400,3345.0,1083.0,2.4
CED512,35,1950,3718.0,1603.0,2.8
CED513,37,1989,4407.0,1560.0,2.2
CED514,36,1850,3887.0,1517.0,2.4
CED515,40,2100,3657.0,1733.0,2.7
CED594,0,0,0.0,0.0,0.0
CED597,40,1733,9200.0,0.0,1.7
CED601,41,1300,2925.0,1170.0,2.3
CED602,45,1200,2760.0,1040.0,2.3
CED603,37,1517,3380.0,1538.0,2.4
CED604,41,1517,3358.0,1517.0,2.5
CED605,44,1300,2825.0,1170.0,2.4
CED694,0,0,0.0,0.0,0.0
CED697,43,0,9746.0,0.0,0.0
CED701,32,2000,3146.0,823.0,3.0
CED702,34,2000,4810.0,1647.0,2.6
CED794,0,0,0.0,0.0,0.0
CED797,40,0,6405.0,0.0,2.3
CED801,38,2054,5126.0,1863.0,2.6
CED802,35,2167,5586.0,2058.0,2.3
CED803,34,2006,4962.0,1950.0,2.7
CED894,0,0,0.0,0.0,0.0
CED897,0,0,0.0,0.0,0.0
CED994,0,0,0.0,0.0,0.0
CED997,0,0,0.0,0.0,0.0
