total_p,indigenous_p,birth_aus,birth_oth,electoral,state,total_votes,no_percent,indigenous_percent,born_aus_percent
151422,11322,123521,13038,Maranoa,QLD,76648,84.2527,7.4771,90.4525
158677,10875,126176,17666,Flynn,QLD,80043,83.4501,6.8535,87.7185
156565,7860,122891,23878,Hinkler,QLD,91709,80.5134,5.0203,83.7309
162083,10868,125227,22774,Dawson,QLD,83620,80.3492,6.7052,84.6123
159792,10323,127976,15727,Capricornia,QLD,80951,80.2967,6.4603,89.0559
171402,25308,132278,21401,Kennedy,QLD,84542,80.2465,14.7653,86.0742
171485,12647,140896,17254,Grey,SA,91993,79.4691,7.3750,89.0901
154967,25343,125770,10241,Parkes,NSW,83038,78.8687,16.3538,92.4705
167639,5295,135141,18348,Mallee,VIC,92092,78.8071,3.1586,88.0460
171687,5065,140683,19336,Barker,SA,95266,78.3763,2.9501,87.9164
